epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.093,2.17918,3.3474,1.38782,0.67201,0.87841,0.71694,0.33043,1.36034,31.9454,0.92138,0.0700562,0.00332709,0.00332709
2,567.9,1.82779,1.31699,1.17669,0.71986,0.88016,0.80896,0.37955,1.34501,35.2708,0.91541,0.0399243,0.00652855,0.00652855
3,854.688,1.83743,1.25931,1.18306,0.76535,0.77067,0.81347,0.37809,1.35511,17.7367,0.92304,0.00966043,0.009598,0.009598
4,1162.08,1.83007,1.22863,1.18188,0.80235,0.86263,0.85416,0.38983,1.36881,34.2754,0.92018,0.009406,0.009406,0.009406
5,1456.79,1.80907,1.13075,1.16793,0.87055,0.90543,0.9302,0.45902,1.29043,8.931,0.89407,0.009208,0.009208,0.009208
6,1702.12,1.7465,1.05054,1.13988,0.89987,0.90662,0.94501,0.46353,1.32495,6.32397,0.90377,0.00901,0.00901,0.00901
7,1946.09,1.72424,1.00735,1.13023,0.93055,0.86979,0.92904,0.47023,1.28005,1.89971,0.88109,0.008812,0.008812,0.008812
8,2233.19,1.70852,0.94565,1.12717,0.96481,0.91546,0.96592,0.4959,1.28289,1.81699,0.87927,0.008614,0.008614,0.008614
9,2473.89,1.68356,0.91018,1.11451,0.95744,0.94827,0.96853,0.5008,1.2614,1.5374,0.87102,0.008416,0.008416,0.008416
10,2716.17,1.65638,0.88691,1.10074,0.97011,0.94458,0.97094,0.50634,1.23934,0.91149,0.8622,0.008218,0.008218,0.008218
11,2956.55,1.6577,0.85252,1.10544,0.9373,0.94642,0.97085,0.50725,1.25192,11.6579,0.86245,0.00802,0.00802,0.00802
12,3202.21,1.62834,0.83266,1.09352,0.93751,0.94465,0.97089,0.5274,1.21503,0.70828,0.858,0.007822,0.007822,0.007822
13,3450.39,1.61445,0.81357,1.09378,0.95951,0.96287,0.97807,0.53733,1.20223,5.34422,0.84929,0.007624,0.007624,0.007624
14,3691.49,1.60743,0.80574,1.08649,0.9565,0.96096,0.97884,0.53202,1.22053,5.0222,0.85086,0.007426,0.007426,0.007426
15,3941.9,1.58337,0.77508,1.07948,0.97059,0.97335,0.98304,0.53506,1.22835,0.63159,0.85479,0.007228,0.007228,0.007228
16,4244.59,1.57575,0.76277,1.08074,0.97133,0.97573,0.98463,0.54955,1.18301,1.72564,0.83762,0.00703,0.00703,0.00703
17,4546.19,1.56246,0.76213,1.06562,0.9571,0.85185,0.95241,0.53497,1.17566,0.67792,0.8379,0.006832,0.006832,0.006832
18,4791.21,1.54924,0.73906,1.06772,0.97576,0.97303,0.98291,0.55215,1.17491,0.91295,0.83607,0.006634,0.006634,0.006634
19,5038.09,1.53455,0.71976,1.06284,0.97291,0.98132,0.98479,0.56538,1.17026,0.52899,0.83438,0.006436,0.006436,0.006436
20,5324.8,1.52046,0.71714,1.05512,0.97686,0.97799,0.98682,0.56686,1.16544,0.65308,0.8308,0.006238,0.006238,0.006238
21,5641.23,1.51,0.70058,1.05308,0.97101,0.98468,0.98786,0.56751,1.16288,0.49036,0.83132,0.00604,0.00604,0.00604
22,5947.18,1.50208,0.69582,1.0519,0.97366,0.98369,0.98762,0.57383,1.14618,0.82048,0.82802,0.005842,0.005842,0.005842
23,6232.27,1.48433,0.68473,1.0466,0.97413,0.98401,0.98855,0.58201,1.13522,0.47252,0.82209,0.005644,0.005644,0.005644
24,6583.33,1.47055,0.67449,1.0386,0.97327,0.98475,0.98701,0.58757,1.12965,0.46142,0.81838,0.005446,0.005446,0.005446
25,7254.1,1.44599,0.655,1.03188,0.97357,0.98209,0.98506,0.58536,1.11803,0.45831,0.81574,0.005248,0.005248,0.005248
26,7547.54,1.44451,0.65335,1.03378,0.97962,0.97943,0.98665,0.5816,1.12633,0.59855,0.82078,0.00505,0.00505,0.00505
27,7849.09,1.42966,0.64407,1.02781,0.97855,0.9833,0.989,0.58469,1.11128,0.51532,0.81518,0.004852,0.004852,0.004852
28,8156.51,1.40758,0.63362,1.02263,0.97963,0.98038,0.98627,0.59419,1.11182,0.4206,0.81421,0.004654,0.004654,0.004654
29,8470.99,1.38842,0.63199,1.0174,0.97886,0.98935,0.98829,0.60192,1.0954,0.53241,0.80913,0.004456,0.004456,0.004456
30,8737.25,1.37715,0.62235,1.01089,0.98067,0.98353,0.98686,0.605,1.08973,0.41218,0.8075,0.004258,0.004258,0.004258
31,9029.45,1.36295,0.6085,1.01204,0.97742,0.99047,0.99026,0.61165,1.08129,0.41009,0.80294,0.00406,0.00406,0.00406
32,9387.64,1.35392,0.6018,1.00687,0.97956,0.9835,0.98872,0.61211,1.06823,0.41121,0.79987,0.003862,0.003862,0.003862
33,9718.66,1.3344,0.58454,1.00112,0.97826,0.98894,0.98797,0.61524,1.0693,0.40736,0.79879,0.003664,0.003664,0.003664
34,9965.72,1.32266,0.5787,0.99661,0.98071,0.98855,0.98904,0.62015,1.06355,0.41438,0.79711,0.003466,0.003466,0.003466
35,10211.9,1.29779,0.56947,0.98658,0.98078,0.98597,0.99,0.62825,1.05043,0.41132,0.79292,0.003268,0.003268,0.003268
36,10456.4,1.29693,0.5736,0.98602,0.98106,0.98541,0.98934,0.62594,1.04394,0.40993,0.79119,0.00307,0.00307,0.00307
37,10700.9,1.27589,0.56573,0.98394,0.97965,0.9888,0.98719,0.63123,1.03369,0.38717,0.78764,0.002872,0.002872,0.002872
38,10945.3,1.24436,0.55183,0.97396,0.98067,0.98936,0.9893,0.6347,1.02775,0.37984,0.78651,0.002674,0.002674,0.002674
39,11193,1.24506,0.54688,0.97599,0.98064,0.98698,0.99001,0.63092,1.03542,0.3783,0.78758,0.002476,0.002476,0.002476
